state_name,county_name,standardzd_per_capita_medcr_cost_fee_for_service_2015,population_estimate_2016,pop_total_male_2015,pop_total_female_2015,pop_white_male_2015,pop_white_female_2015,pop_white_hispanic_latino_male_2015,pop_black_african_amer_male_2015,pop_black_african_amer_female_2015,pop_asian_male_2015,pop_asian_female_2015,median_age_2010,medicare_enrollment_aged_tot_2015,percent_persons_25_w_hs_diploma_2011_15,percent_persons_25_w_4_yrs_college_2011_15,percent_educ_hlth_care_soc_asst_2011_15
New York,Seneca,7964.74,34777,18198,16635,16093,15908,581,1602,267,132,141,41,5204,14.7,20.2,27.5
New York,Steuben,7207.3,96940,48360,49271,45816,46934,678,968,632,725,806,41.4,17062,10.7,21.3,25.7
New York,Suffolk,10001.01,1492583,739478,762109,629113,645368,126381,61051,65491,30471,32377,39.8,229139,10.1,34,26.5
New York,Sullivan,8654.88,74801,38368,36509,32242,31443,4996,4239,3159,579,715,41.7,12487,14,22.2,30.7
New York,Tioga,7766.07,48760,24608,24845,23739,24079,367,266,209,167,213,42.5,8367,9.1,24.4,27
New York,Tompkins,6617.21,104871,51610,53316,41666,43533,1939,2214,2307,5824,5402,29.8,13018,5.8,50.8,46.3
New York,Ulster,8501.88,179225,89478,90665,77597,80678,7784,7315,5078,1811,2024,42,30489,10.3,30.1,29.4
New York,Warren,7971.24,64567,31661,33027,30371,31804,610,471,339,240,314,44.1,13565,9.1,28.2,26.2
New York,Washington,7813.91,61800,32327,29903,29777,29036,780,1893,221,137,209,41.7,10654,11.5,19.4,22.8
New York,Wayne,8681.44,90798,45307,46139,42212,43339,1794,1694,1306,260,412,41.6,16089,10.4,20.6,25.4
New York,Westchester,9579.37,974542,472457,503939,354160,369606,97561,73185,84873,28708,33209,40,148115,12.5,46.7,27.4
New York,Wyoming,7384.2,40791,22318,18695,19432,18244,729,2458,88,88,123,40.9,6393,12.8,15.2,21.5
New York,Yates,5796.79,24923,12204,12844,11858,12485,276,142,101,45,91,40.7,4858,14.2,23.7,26
